path,label,split,sampled_frames,fps,width,height,people_mean,people_std,people_p90,people_trend,flow_mean,flow_std,flow_p90,flow_trend,coherence_mean,coherence_std,coherence_p90,coherence_trend,speed_mean,speed_std,speed_p90,speed_trend
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0017_clip_003.mp4,No Panic,train,48,29.97,640,360,0.041666666666666664,0.19982631347136331,0.0,0.0032566217976552326,0.550598460209972,1.9139341713739078,0.5136260330677028,0.009931223469253918,0.3476459950684233,0.22807443309406222,0.7152793049812317,0.0031310800238099797,15.418554306030273,0.0,15.418554306030273,0.0
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0017_clip_004.mp4,No Panic,train,48,29.97,640,360,0.3958333333333333,0.6993920971497716,1.0,0.033380373425966135,0.7908420507261094,2.0176445777810383,1.4847007274627686,0.04309176431992932,0.3439123301588474,0.22489958377028924,0.66927170753479,-0.0038249576369526242,33.922100534041725,34.51865857363625,80.48273696899415,-5.303714333297486
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0017_clip_008.mp4,No Panic,train,48,29.97,640,360,0.20833333333333334,0.5384519993050035,1.0,-0.0176943117672601,5.714391885919774,2.7377118749712808,8.593780899047852,0.0753955947757319,0.5468107079888912,0.26546608964411966,0.8735849857330322,-0.013774175626793525,10.849732322352272,4.5962207610657595,14.406256103515625,0.7812988758087158
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0017_clip_009.mp4,No Panic,test,48,29.97,640,360,0.0,0.0,0.0,0.0,0.2713629922017138,0.27974066909839473,0.4453338325023651,-0.008955069402341321,0.5361267274364512,0.20702417189986586,0.762728464603424,-0.002400562277444525,0.0,0.0,0.0,0.0
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0017_clip_010.mp4,No Panic,test,48,29.97,640,360,0.4791666666666667,0.49956578367840826,1.0,0.031209292227529314,0.7658148276362013,1.7619374477469356,1.053373074531555,0.0117607899044643,0.49854411454276837,0.26156332501232193,0.8238383412361144,-0.010809141896995928,34.174276341091506,20.642890047063847,65.34037208557133,-0.14961058470167554
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_001.mp4,No Panic,train,48,29.97,640,360,3.7083333333333335,1.9467743977039444,6.0,-0.03864524533217548,7.911355099779494,4.431163087132257,15.104559135437011,0.26883050989597407,0.5501011117024625,0.29024757929920014,0.8460182785987854,0.0157276828903412,176.4043685373138,110.26913025405139,296.2901916503906,0.7928059898187828
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_002.mp4,No Panic,train,48,29.97,640,360,4.541666666666667,1.9786183450972943,7.300000000000004,0.010312635692574859,6.977126773367536,3.9204343564638284,12.513588333129883,-0.14163291702438133,0.5539808571338654,0.19550946817556641,0.7441874742507935,-0.012221690960000992,123.41605050912064,128.2754324054442,282.95127868652355,-0.4521494502660056
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_003.mp4,No Panic,train,48,29.97,640,360,1.8125,1.4812192331544531,4.0,0.016011723838471534,5.825080734618167,2.322864812178696,9.800410652160645,-0.12570612048463184,0.485248254493196,0.18059665508502806,0.7499089717864991,-0.004728441281721444,88.1348985749848,103.57925943734604,242.2802429199219,-4.01012703662016
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_006.mp4,No Panic,train,48,29.97,640,360,3.9583333333333335,1.1539485353438523,5.0,-0.014329135909683065,6.14684282465184,1.6132973857751707,8.422004508972169,0.10082747898203266,0.3304054683193247,0.163546828498051,0.5506189346313477,-0.009174726431746516,50.37879563916114,105.84425174583596,104.48075256347656,0.2694793428305494
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_007.mp4,No Panic,train,48,29.97,640,360,6.895833333333333,2.702156417670072,10.0,0.09829570125922704,6.174723493291976,1.1691228452972997,7.587492656707764,0.01442036680553273,0.3135066593581058,0.1338055723495632,0.4665847718715668,-0.0005426558542731287,102.1213338312113,133.81885387794674,267.0734191894531,-0.07894359352980991
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_045.mp4,No Panic,train,48,29.97,640,360,8.125,3.9928321193525447,13.0,0.04049066435084662,11.118103067925636,5.494085120855655,17.82631492614746,-0.05785009819087205,0.8185750069294838,0.1884266418465594,0.9786055445671081,0.0061653799056028075,154.95527390905676,161.62458387781774,373.16026306152344,0.09032594400824948
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_046.mp4,No Panic,train,48,29.97,640,360,4.395833333333333,1.65503755412243,7.0,-0.08798306556665234,5.6299469673887215,2.4708728190459848,8.827802085876465,-0.022551303820737955,0.6811882327211664,0.22349434346129293,0.9534556627273559,-0.008060435985906816,96.84164188196371,98.69124373359124,162.23424682617187,-0.3510059801235853
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_047.mp4,No Panic,train,48,29.97,640,360,1.8541666666666667,1.4998553170963598,4.0,-0.006024750325662202,4.9836103459622,2.040179074256673,7.719937038421631,0.08139381992607407,0.5728742980021746,0.3630141782216639,0.9702756762504577,0.02243542140539284,84.41931910037994,129.10849209313884,162.30133666992188,1.2920109477850292
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_048.mp4,No Panic,train,48,29.97,640,360,5.5625,3.121873435935544,9.0,0.19990230134607032,7.723238310915359,3.3028249780740304,13.674015617370605,-0.17112410250468782,0.6889203304940081,0.20404379053067462,0.9538776516914368,-0.012035193068219152,88.05130820368466,72.63318382611263,178.34768218994142,-0.709300224946984
