path,label,fps,frames,width,height,duration_seconds,split
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0017_clip_003.mp4,No Panic,29.97,150,640,360,5.005005005005005,train
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0017_clip_004.mp4,No Panic,29.97,150,640,360,5.005005005005005,train
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0017_clip_008.mp4,No Panic,29.97,150,640,360,5.005005005005005,train
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0017_clip_009.mp4,No Panic,29.97,150,640,360,5.005005005005005,test
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0017_clip_010.mp4,No Panic,29.97,150,640,360,5.005005005005005,test
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_001.mp4,No Panic,29.97,150,640,360,5.005005005005005,train
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_002.mp4,No Panic,29.97,150,640,360,5.005005005005005,train
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_003.mp4,No Panic,29.97,150,640,360,5.005005005005005,train
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_006.mp4,No Panic,29.97,150,640,360,5.005005005005005,train
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_007.mp4,No Panic,29.97,150,640,360,5.005005005005005,train
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_045.mp4,No Panic,29.97,150,640,360,5.005005005005005,train
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_046.mp4,No Panic,29.97,150,640,360,5.005005005005005,train
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_047.mp4,No Panic,29.97,150,640,360,5.005005005005005,train
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_048.mp4,No Panic,29.97,150,640,360,5.005005005005005,train
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_049.mp4,No Panic,29.97,150,640,360,5.005005005005005,train
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_050.mp4,No Panic,29.97,150,640,360,5.005005005005005,train
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_051.mp4,No Panic,29.97,150,640,360,5.005005005005005,test
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_052.mp4,No Panic,29.97,150,640,360,5.005005005005005,train
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_053.mp4,No Panic,29.97,150,640,360,5.005005005005005,train
/Users/harinihegde/Downloads/crowd_panic/No Panic/VID-20250924-WA0030_clip_054.mp4,No Panic,29.97,150,640,360,5.005005005005005,train
