n_frames,mean_count,max_count,std_count,mean_speed,peak_density_zone,vid_id,split,fps,total_tracks,elapsed_s
120,11.06,14,2.08,0.8,center,train_Train001,train,10.47,51,0.02
150,13.15,16,1.86,0.807,center,train_Train002,train,11.34,71,0.03
150,13.2,17,2.19,0.782,center,train_Train003,train,11.54,65,0.03
180,6.68,11,2.48,0.81,right,train_Train004,train,11.64,27,0.02
180,8.09,11,1.7,0.828,center,train_Train005,train,11.95,30,0.02
150,6.35,9,1.43,0.826,left,train_Train006,train,12.12,28,0.01
150,7.93,10,1.49,0.789,center,train_Train007,train,12.05,30,0.02
120,7.19,9,1.39,0.784,left,train_Train008,train,12.19,24,0.01
180,4.71,9,2.03,0.816,left,train_Train009,train,12.09,33,0.01
180,4.24,7,1.36,0.781,left,train_Train010,train,11.73,34,0.01
180,4.92,8,1.61,0.829,center,train_Train011,train,12.22,43,0.01
180,7.24,11,1.86,0.826,center,train_Train012,train,12.06,41,0.02
180,6.31,10,1.8,0.812,left,train_Train013,train,12.05,35,0.02
150,5.47,8,1.26,0.844,right,train_Train014,train,11.95,20,0.01
150,4.67,7,1.17,0.829,right,train_Train015,train,11.91,22,0.01
150,6.46,9,1.27,0.823,left,train_Train016,train,12.01,22,0.01
180,12.32,16,2.1,0.779,center,test_Test001,test,11.63,58,0.03
180,8.66,12,1.68,0.837,left,test_Test002,test,11.94,43,0.02
150,10.12,14,2.06,0.804,center,test_Test003,test,11.88,47,0.02
180,6.1,9,1.5,0.84,center,test_Test004,test,12.0,33,0.02
150,9.89,15,2.26,0.777,left,test_Test005,test,11.91,67,0.02
180,8.28,14,1.88,0.805,left,test_Test006,test,11.85,37,0.02
180,7.97,11,1.37,0.801,left,test_Test007,test,11.85,37,0.02
180,7.26,10,1.48,0.821,right,test_Test008,test,11.97,39,0.02
120,8.39,13,1.84,0.831,center,test_Test009,test,11.98,40,0.02
150,5.62,8,1.44,0.802,center,test_Test010,test,12.01,25,0.01
180,12.07,17,2.09,0.823,center,test_Test011,test,11.67,86,0.03
180,12.95,18,2.13,0.829,center,test_Test012,test,11.63,68,0.04
