n_frames,mean_count,max_count,std_count,mean_speed,peak_density_zone,vid_id,split,fps,total_tracks,elapsed_s
200,3.46,7,1.63,0.604,left,train_Train001,train,10.07,61,1.76
200,9.95,16,2.08,0.596,left,train_Train002,train,8.43,118,1.74
200,6.79,12,2.33,0.702,left,train_Train003,train,10.84,121,1.68
200,4.69,8,1.43,0.669,left,train_Train004,train,11.57,62,0.05
200,4.4,9,2.0,0.605,left,train_Train005,train,11.77,54,0.03
200,9.29,16,3.21,0.668,left,train_Train006,train,11.14,74,0.06
200,1.48,3,0.78,0.607,center,train_Train007,train,11.94,19,0.02
200,2.11,4,1.06,0.498,left,train_Train008,train,11.86,31,0.02
200,2.37,6,1.33,0.631,left,train_Train009,train,11.84,21,0.02
200,0.81,2,0.8,0.427,center,train_Train010,train,11.93,14,0.01
200,1.04,5,1.52,0.669,left,train_Train011,train,12.02,11,0.01
200,1.01,3,1.17,0.508,center,train_Train012,train,12.13,10,0.01
200,1.16,3,0.94,0.638,left,train_Train013,train,12.04,17,0.01
200,0.71,2,0.77,0.433,left,train_Train014,train,12.11,17,0.01
200,1.96,4,0.45,0.611,left,train_Train015,train,11.95,24,0.02
200,1.86,4,1.37,0.612,left,train_Train016,train,12.03,16,0.01
200,0.83,2,0.71,0.765,left,train_Train017,train,12.06,9,0.01
200,0.56,3,0.85,0.676,left,train_Train018,train,11.99,10,0.01
200,1.44,4,1.21,0.735,left,train_Train019,train,12.13,14,0.01
200,1.28,2,0.87,0.654,left,train_Train020,train,12.04,19,0.01
200,1.87,3,1.13,0.534,left,train_Train021,train,11.94,24,0.02
200,1.5,3,0.96,0.635,left,train_Train022,train,11.96,20,0.02
200,2.5,6,1.35,0.69,left,train_Train023,train,11.68,31,0.02
200,2.46,6,1.94,0.637,center,train_Train024,train,11.96,18,0.02
200,1.34,5,1.4,0.619,left,train_Train025,train,11.91,24,0.02
200,3.65,6,1.32,0.689,left,train_Train026,train,11.9,33,0.02
200,3.56,6,1.53,0.669,left,train_Train027,train,11.74,32,0.03
200,0.7,3,0.87,0.498,left,train_Train028,train,11.81,26,0.02
200,2.56,5,1.27,0.615,left,train_Train029,train,11.59,38,0.03
200,4.64,7,1.3,0.665,left,train_Train030,train,11.52,40,0.03
200,4.2,8,2.27,0.691,left,train_Train031,train,11.73,44,0.03
200,1.18,3,0.77,0.593,left,train_Train032,train,11.97,26,0.02
200,0.78,2,0.79,0.579,left,train_Train033,train,12.08,12,0.01
200,0.56,2,0.73,0.508,center,train_Train034,train,12.02,18,0.02
180,12.32,16,2.1,0.779,center,test_Test001,test,11.38,58,0.03
180,8.66,12,1.68,0.837,left,test_Test002,test,11.05,43,0.02
150,10.12,14,2.06,0.804,center,test_Test003,test,11.28,47,0.02
180,6.1,9,1.5,0.84,center,test_Test004,test,10.87,33,0.01
150,9.89,15,2.26,0.777,left,test_Test005,test,11.46,67,0.02
180,8.28,14,1.88,0.805,left,test_Test006,test,11.42,37,0.02
180,7.97,11,1.37,0.801,left,test_Test007,test,11.39,37,0.02
180,7.26,10,1.48,0.821,right,test_Test008,test,10.99,39,0.02
120,8.39,13,1.84,0.831,center,test_Test009,test,9.27,40,0.01
150,5.62,8,1.44,0.802,center,test_Test010,test,11.74,25,0.01
180,12.07,17,2.09,0.823,center,test_Test011,test,11.1,86,0.03
180,12.95,18,2.13,0.829,center,test_Test012,test,10.23,68,0.03
