,total_frames,alerts,lstm_anomaly_frames,spatial_anomaly_frames,multi_source_validations,multi_source_rate,avg_risk_score,max_risk_score,critical_rate
Test001,180,"{'LOW': 53, 'MEDIUM': 127, 'HIGH': 0, 'CRITICAL': 0}",119,0,0,0.0,0.2512520351667388,0.3786378291294807,0.0
Test002,180,"{'LOW': 103, 'MEDIUM': 77, 'HIGH': 0, 'CRITICAL': 0}",74,0,0,0.0,0.24189918586208659,0.48651690462657354,0.0
Test003,150,"{'LOW': 114, 'MEDIUM': 36, 'HIGH': 0, 'CRITICAL': 0}",31,0,0,0.0,0.19318859184141376,0.3058529655522756,0.0
Test004,180,"{'LOW': 127, 'MEDIUM': 43, 'HIGH': 10, 'CRITICAL': 0}",55,0,0,0.0,0.2108415291201696,0.522,0.0
Test005,150,"{'LOW': 87, 'MEDIUM': 63, 'HIGH': 0, 'CRITICAL': 0}",72,0,0,0.0,0.22112423626356928,0.36805438544996244,0.0
Test006,180,"{'LOW': 83, 'MEDIUM': 97, 'HIGH': 0, 'CRITICAL': 0}",102,0,0,0.0,0.24821216364276202,0.44480000000000003,0.0
Test007,180,"{'LOW': 160, 'MEDIUM': 20, 'HIGH': 0, 'CRITICAL': 0}",23,0,0,0.0,0.17103538905726012,0.2969009972847708,0.0
Test008,180,"{'LOW': 130, 'MEDIUM': 50, 'HIGH': 0, 'CRITICAL': 0}",51,0,0,0.0,0.1856335151915716,0.3302277661344161,0.0
Test009,120,"{'LOW': 71, 'MEDIUM': 49, 'HIGH': 0, 'CRITICAL': 0}",50,0,0,0.0,0.2205143087852628,0.4287373358163047,0.0
Test010,150,"{'LOW': 68, 'MEDIUM': 82, 'HIGH': 0, 'CRITICAL': 0}",92,0,0,0.0,0.23523814562123097,0.39398031935918537,0.0
Test011,180,"{'LOW': 54, 'MEDIUM': 126, 'HIGH': 0, 'CRITICAL': 0}",127,0,0,0.0,0.2691659188585549,0.4274272498375565,0.0
Test012,180,"{'LOW': 123, 'MEDIUM': 57, 'HIGH': 0, 'CRITICAL': 0}",49,0,0,0.0,0.2297474578182116,0.4832000000000001,0.0
